"IYR","IMO","RAILROAD","INCDTNO","IYR2","IMO2","RR2","INCDTNO2","IYR3","IMO3","RR3","INCDTNO3","DUMMY1","GXID","YEAR","MONTH","DAY","TIMEHR","TIMEMIN","AMPM","TYPE","CARS","CARSDMG","CARSHZD","EVACUATE","DIVISION","STATION","MILEPOST","STATE","TEMP","VISIBLTY","WEATHER","TRNSPD","TYPSPD","TRNNBR","TRNDIR","TONS","TYPEQ","EQATT","TRKNAME","TRKCLAS","TRKDNSTY","TYPTRK","RRCAR1","CARNBR1","POSITON1","LOADED1","RRCAR2","CARNBR2","POSITON2","LOADED2","HEADEND1","MIDMAN1","MIDREM1","RMAN1","RREM1","HEADEND2","MIDMAN2","MIDREM2","RMAN2","RREM2","LOADF1","LOADP1","EMPTYF1","EMPTYP1","CABOOSE1","LOADF2","LOADP2","EMPTYF2","EMPTYP2","CABOOSE2","EQPDMG","TRKDMG","CAUSE","CAUSE2","CASKLDRR","CASINJRR","CASKLD","CASINJ","ACCAUSE","ACCTRK","ACCTRKCL","HIGHSPD","ACCDMG","DUMMY2","STCNTY","TOTINJ","DUMMY3","TOTKLD","ENGRS","FIREMEN","CONDUCTR","BRAKEMEN","ENGHR","ENGMIN","CDTRHR","CDTRMIN","JOINTCD","REGION","DUMMY4","TYPRR","DUMMY5","RRDIV","METHOD","NARRLEN","DUMMY6","YEAR4","RREMPKLD","RREMPINJ","PASSKLD","PASSINJ","OTHERKLD","OTHERINJ","COUNTY","CNTYCD","ALCOHOL","DRUG","DUMMY7","PASSTRN","SSB1","SSB2","NARR1","NARR2","NARR3","NARR4","NARR5","NARR6","NARR7","NARR8","NARR9","NARR10","NARR11","NARR12","NARR13","NARR14","NARR15","RCL","Latitude","Longitud","SIGNAL","MOPERA","ADJUNCT1","ADJUNCT2","ADJUNCT3",SUBDIV
"23","02","CFE","CFE319723O","23","02","XBUN","INDUSTRY","23","02","CFE","CFE319723O","","","23","02","03","7","45","AM","01","0","0","0","0","","DELPHOS","275.2","39","14","1","1","003","E","CUST","1","0","6","N","DELPHOS SIDING","1","","3","BNGX","032357","001","Y","","","000","","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","1","0","0","0","0","20000","2965","M504","","0","0","0","0","M504","3","1","003","22965","","39C003","0","000000","0","0","0","0","0","","","","","1","2","","Cl","","","","287","","2023","0","0","0","0","0","0","ALLEN","003","","","","N","OTH","000-000-000","BUNGE EMPLOYEES WERE SHOVING A CUT OF 9 CARS WEST TOWARD THE DERAIL IN THE SIDING. THE BUNGE EMPLOYE","ES REALIZED THEY WERE NOT GOING TO STOP PRIOR TO HITTING THE DERAIL. THEY ATTEMPTED TO SET HAND BRAK","ES TO STOP THE CARS, BUT THE WEST CAR HIT THE DERAIL AND CAUSED IT TO ROLL ON ITS SIDE.","","","","","","","","","","","","","0","40.842456","-84.351233","2","5","","","","LIMA",
"23","02","CFE","CFE335123D","","","","","23","02","CFE","CFE335123D","","","23","02","19","12","15","AM","01","0","0","0","0","","DELPHOS","74.15","39","45","4","2","006","R","LIEX","4","3650","1","Y","DELPHOS LEAD","1","","4","PLCX","028321","015","N","","","000","","3","0","0","0","0","0","0","0","0","0","27","0","14","0","0","0","0","5","0","0","18000","1346","T217","","0","0","0","0","T217","4","1","006","19346","","39C003","0","000000","0","1","1","1","0","06","15","06","15","1","2","","Cl","","","","229","","2023","0","0","0","0","0","0","ALLEN","003","","","","N","OTH","000-000-000","LIEX-18 CREW WAS SHOVING 41 CARS AROUND THE CONNECTION TO THE DTR SUBDIVISION WHEN CARS 10-14 DERAIL","ED DUE TO STRIKING A MISMATCHED JOINT. CARS 10 AND 11 ACCORDIONED AND KICKED OUT, CAUSING CAR 10 TO","STRIKE AND SNAP A POWER POLE.","","","","","","","","","","","","","0","40.841381","-84.346306","2","5","","","","LIMA",
"23","01","WE","230001","","","","","23","01","WE","230001","","","23","01","04","1","15","AM","12","0","0","0","0","","BREWSTER","00135.","39","58","4","2","015","E","523-","3","800","7","Y","W07","1","YARD","2","PROX","094555","001","N","","","000","","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","33797","0","H212","","0","0","0","0","H212","2","1","015","33797","","39C151","0","000000","0","1","0","1","0","02","15","02","15","1","2","","Cl","","","","534","","2023","0","0","0","0","0","0","STARK","151","","","","N","OTH","000-000-000","523-03 WAS SWITCHING IN BREWSTER YARD, UTILIZING REMOTE CONTROL OPERATION, THE ENGINEER WAS STATIONE","D ON THE LEAD BESIDE THE SWITCH. THE CONDUCTOR WAS RIDING THE STEPS OF THE ENGINE, SHOVING CARS INTO","TRACK 7 FROM THE WEST END. THE CONDUCTOR, AFTER APPROXIMATELY 10 CAR LENGTHS, CUT THE ENGINE AWAY F","ROM THE CARS WITHOUT TELLING THE ENGINEER THAT HE DID SO. THE ENGINEER WAS UNAWARE AND BEGAN THROTTL","ING UP THE LOCOMOTIVE. THIS RESULTED THE ENGINE RUNNING INTO THE CARS THAT THEY HAD JUST CUT AWAY FR","OM, WHICH HAD DRIFTED TO THE STOP.","","","","","","","","","","1","40.707003","-81.598179","2","5","K","","","BREWSTER",
"23","01","RCPE","RCP307723D","","","","","23","01","RCPE","RCP307723D","","","23","01","27","2","30","AM","01","0","0","0","0","","CAPA","516.25","46","22","4","2","009","E","MRCH","3","10633","1","Y","SINGLE MAIN TRACK","1","31.78","1","RCPE","003446","002","N","","","000","","2","0","0","0","0","1","0","0","0","0","81","0","4","0","0","6","0","0","0","0","107107","82407","T207","","0","0","0","0","T207","1","1","009","189514","","46C075","0","000000","0","1","0","1","0","05","15","05","15","1","8","","Cl","","","","241","","2023","0","0","0","0","0","0","JONES","075","","","","N","CWR","000-000-000","AN EASTBOUND TRAIN WENT INTO UNDESIRED EMERGENCY. THE CONDUCTOR DURING A WALKING INSPECTION DISCOVER","ED ONE (1) LOCOMOTIVE AND SIX (6) CARS DERAILED. THE INVESTIGATION REVEALED THE CAUSE WAS DUE TO A B","ROKEN RAIL DETAIL FRACTURE FROM SHELLING.","","","","","","","","","","","","","0","44.130038","-100.843176","2","2","P","N","","PRC",
"23","01","BNSF","TC0123117","","","","","23","01","BNSF","TC0123117","","","23","01","28","12","23","PM","01","20","0","0","0","","ELK POINT","533.7","46","24","2","1","010","E","HABE","3","12096","1","Y","SINGLE MAIN TRACK","3","1.84","1","ATW","316306","100","Y","ATW","316306","100","Y","2","0","0","0","0","0","0","0","0","0","89","0","17","0","0","1","0","0","0","0","10500","37000","E53C","","0","0","0","0","E53C","1","3","010","47500","","46C127","0","000000","0","1","0","1","1","09","03","09","03","1","8","","CL","","","","102","","2023","0","0","0","0","0","0","UNION","127","","","","N","CWR","000-000-000","H ABEKCK4 26 ON SINGLE MAIN TRACK DERAILED 1 RAILCAR DUE TO AN OVERHEATED JOURNAL. NO HAZMAT RELEASE","D.","","","","","","","","","","","","","","0","42.683272","-96.674498","2","2","P","","","ABERDEEN",
"23","01","RJCS","RJCS2301","","","","","23","01","RJCS","RJCS2301","","","23","01","21","5","50","AM","01","0","0","0","0","","ALLSBROOK","00322.","45","48","4","1","008","R","RJCS","2","4000","1","Y","SINGLE MAIN LINE","1","1.5000","1","VULX","008222","026","Y","","","000","","3","0","0","0","0","0","0","0","0","0","40","0","0","0","0","6","0","0","0","0","30000","12000","T220","","0","0","0","0","T220","1","1","008","42000","","45C051","0","000000","0","1","0","1","0","08","50","08","50","1","3","","No","","","","107","","2023","0","0","0","0","0","0","HORRY","051","","","","N","OTH","","DERAILMENT OCCURED 26TH CAR IN 40 TRAIN DUE TO BROKEN RAIL. FOLLOWING 5 CARS DERAILED BEFORE TRAIN S","TOPPED.","","","","","","","","","","","","","","0","34.010709","-78.962627","2","2","","","","SYSTEM",
"23","01","CSX","000209204","","","","","23","01","CSX","000209204","","","23","01","09","7","47","PM","01","0","0","0","0","","LAKE CITY","0315.8","45","55","3","1","054","R","L640","1","5854","1","Y","SINGLE MAIN TRACK","4","0039.2","1","CSXT","007238","001","N","","","000","","2","0","0","0","0","2","0","0","0","0","37","0","35","0","0","7","0","19","0","0","517927","262794","M402","","0","0","0","0","M402","1","4","054","780721","","45C041","0","000000","0","1","0","1","0","04","47","04","47","1","3","","CL","","","","162","","2023","0","0","0","0","0","0","FLORENCE","041","00","00","","N","CWR","000-000-000","L64009 ENCOUNTERED A VEHICLE ON THE TRACK AT MILE POST A 315 IN LAKE CITY. DERAILED 2 ENGINES AND 26","CARS DUE TO VEHICLE ON THE TRACK CAUSING TRACK MISALIGNMENT .","","","","","","","","","","","","","","0","33.876386","-79.753343","1","1","","","","CHARLESTON",
"23","01","NS","151966","","","","","23","01","NS","151966","","","23","01","10","1","0","AM","13","0","0","0","0","","EUREKA","R171.0","45","39","4","1","007","E","P70P","2","1547","1","Y","TRACK 01","1","0610","4","TCHX","003027","001","N","","","000","","1","0","0","0","0","0","0","0","0","0","13","0","7","0","0","0","0","4","0","0","4000","13603","H702","","0","0","0","0","H702","4","1","007","17603","","45C003","1","000000","0","1","1","2","0","07","","07","","1","3","","CL","","","","122","","2023","0","1","0","0","0","0","AIKEN","003","00","00","","N","CWR","000-000-000","NS TRAIN P70P009 SHOVING THE BRIDGESTONE LEAD AND DERAILED 4 CARS DUE TO A PREVIOUSLY RUN THROUGH SW","ITCH BY THE SAME CREW.","","","","","","","","","","","","","","0","33.662169","-81.806011","2","5","K","","","COASTAL",
"23","02","NS","152335","","","","","23","02","CSX","000209897","","","23","02","18","12","15","AM","01","0","0","0","0","","SPARTANBURG","452","45","38","","2","003","E","P42P","1","0","8","Y","TRACK 01","X","3","1","NS","006408","001","N","","","000","","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10000","0","M501","","0","0","0","0","M501","1","X","003","10000","","45C083","0","000000","0","1","0","1","0","10","25","10","25","1","3","","CL","","","","75","","2023","0","0","0","0","0","0","SPARTANBURG","083","00","00","","N","CWR","","NS TRAIN P42P317 DERAILED THE L1, L2, L3, R1, R2, AND R3 WHEELS ON NS 6408.","","","","","","","","","","","","","","","0","34.958189","-81.928854","2","3","L","","","CHARLOTTE",
"23","01","CSX","000209550","","","","","23","01","CSX","000209550","","","23","01","31","10","24","AM","04","0","0","0","0","","PHILADELPHIA","0005.0","42","39","2","2","007","E","M300","3","2200","1","Y","LOCAL LEAD","1","0000.0","2","TPIX","003005","003","Y","","","000","","1","0","0","0","0","0","0","0","0","0","22","0","0","0","0","0","0","0","0","0","11461","0","H306","","0","0","0","0","H306","2","1","007","14461","","42C101","0","000000","0","1","0","1","0","06","39","06","39","3","2","","CL","","","","150","","2023","0","0","0","0","0","0","PHILADELPHIA","101","00","00","","N","CWR","000-000-000","Y19131 AFTER GIVING PERMISSION TO THE M30030 TO ENTER THE RCO ZONE PULLED AHEAD SIDE SWIPING THE M30","030 TPIX 3005 AND CAUSED LOCO CSXT 4390 TO DERAIL.","","","","","","","","","","","","","","0","39.898725","-75.16697","2","5","","","","PHILADELPHIA",
"23","01","CSX","000209550","","","","","23","01","CSX","000209550","","","23","01","31","10","24","AM","04","0","0","0","0","","PHILADELPHIA","0005.0","42","39","2","2","007","R","Y191","3","0","7","Y","LOCAL LEAD","1","0000.0","2","CSXT","004390","001","N","","","000","","1","0","0","0","0","1","0","0","0","0","8","0","2","0","0","0","0","0","0","0","3000","0","H306","","0","0","0","0","H306","2","1","007","14461","","42C101","0","000000","0","1","0","0","0","03","54","","","1","2","","CL","","","","150","","2023","0","0","0","0","0","0","PHILADELPHIA","101","00","00","","N","CWR","000-000-000","Y19131 AFTER GIVING PERMISSION TO THE M30030 TO ENTER THE RCO ZONE PULLED AHEAD SIDE SWIPING THE M30","030 TPIX 3005 AND CAUSED LOCO CSXT 4390 TO DERAIL.","","","","","","","","","","","","","","1","39.898725","-75.16697","2","5","","","","PHILADELPHIA",
"23","01","NS","151971","","","","","23","01","NS","151971","","","23","01","11","2","33","AM","01","18","0","0","0","","GALLITZIN","PT248.","42","28","4","1","000","R","12GC","3","19523","1","Y","DOUBLE MAIN 2","3","0610","1","FRR","000063","156","N","","","000","","1","0","0","2","0","0","0","0","0","0","145","0","18","0","0","0","0","0","0","0","0","67000","H506","","0","0","0","0","H506","1","3","000","67000","","42C021","0","000000","0","1","0","1","0","10","02","10","02","1","2","","CL","","","","106","","2023","0","0","0","0","0","0","CAMBRIA","021","","","","N","CWR","000-000-000","NS TRAIN 12GC210 EXPERIENCED AN UNDESIRED EMERGENCY BRAKE APPLICATION FRR000063 AND SH000271 HAD DER","AILED.","","","","","","","","","","","","","","0","40.476952","-78.562877","1","1","A","","","PITTSBURGH LINE",
"23","01","NJTR","202301019","","","","","23","01","NJTR","202301019","","","23","01","13","9","0","PM","01","0","0","0","0","","MORRISVILLE","","42","32","4","1","005","R","YM38","4","0","2","Y","Y14","1","N/A","2","NJTR","001396","004","N","NJTR","001396","004","N","0","0","0","1","0","0","0","0","0","0","0","0","0","5","0","0","0","0","1","0","12441","446","E99C","","0","0","0","0","E99C","2","1","005","12887","","42C017","0","000000","0","1","0","1","0","02","","02","","1","2","","No","","","","213","","2023","0","0","0","0","0","0","BUCKS","017","","","","N","CWR","","YARD CREW YM-38 REPORTED DERAILMENT OF CAR 1396 (4TH CAR IN CONSIST) DURING SHOVE MOVE WEST TO Y-14","DUE TO PILOT ON THE A-END OF CAR SEPARATING AND JAMMING BETWEEN THE WHEELS OF TRUCK CAUSING TWO WHEE","LS TO DERAIL.","","","","","","","","","","","","","0","40.194395","-74.795028","2","5","L","","","NEWARK",
"23","01","RBMN","R01302301","","","","","23","01","RBMN","R01302301","","","23","01","30","9","5","PM","01","0","0","0","0","","BARNESVILLE","101.7","42","35","4","1","029","R","WHFF","2","1140","1","Y","SINGLE MAIN TRACK","3","5.3","1","RBMN","009987","004","Y","","","000","","3","0","0","0","0","0","0","0","0","0","5","0","16","0","1","2","0","4","0","0","59499","35117","T212","","0","0","0","0","T212","1","3","029","94616","","42C107","0","000000","0","1","0","1","1","02","05","02","05","1","2","","Cl","","","","414","","2023","0","0","0","0","0","0","SCHUYLKILL","107","00","00","","N","CWR","000-000-000","WHFF2-30 WAS OPERATING TIMETABLE SOUTH ON THE READING MAIN LINE NEAR MP 102.0 WITH 3 LOCOMOTIVES LEA","DING AND 5LX16E TRAILING WHEN THE TRAIN CREW HEAD A LOUD BANG UNDERNEATH THE LOCOMOTIVE AND SHORTLY","AFTER FELT THE TRAIN JERK FOLLOWED BY SLACK RUN-IN AND GOING INTO EMERGENCY. CREW WALKED BACK TO DIS","COVER 3 CARS (LOADS) STILL COUPLED TO THE LOCOMOTIVES AND FURTHER BACK 2LX4E DISCONNECTED AND COMPLE","TELY DERAILED.","","","","","","","","","","","0","40.821665","-76.012622","1","1","D","Q","L","READING",
"23","02","ATK","173625","","","","","23","02","ATK","173625","","","23","02","02","4","9","AM","01","0","0","0","0","","LANCASTER","0068.0","42","30","4","1","009","E","KP70","4","0","4","Y","TRACK 1","1","","3","AMT","","000","","","","000","","2","0","0","0","0","0","0","0","0","0","0","0","31","0","0","0","0","3","0","0","10000","2000","H307","H605","0","0","0","0","H307","3","1","009","12000","","42C071","0","000000","0","1","0","1","1","09","09","09","09","1","2","","No","","","","261","","2023","0","0","0","0","0","0","LANCASTER","071","","","","N","CWR","","THE RAIL TRAIN, WITH E/521 AND E/724 AND 31 CARS, CLEARED ONTO THE TAIL TRACK AT CONESTOGA, MP 67.7,",".3 MILES EAST OF LANCASTER, FROM OOS TRACK 1. THE MAINTAINER REPORTED RAIL TRAIN DERAILED 3 CARS AT","MP66.8 THROUGH THE TAIL TRACK SWITCH AND FOULING NO.1 TRACK.","","","","","","","","","","","","","0","40.048311","-76.271546","1","5","O","","","",
